Species;Cultivar;Tsum;HI;I50A;I50B;Tbase;Topt;RUE;I50maxH;I50maxW;MaxT;ExtremeT;CO2_RUE;S_Water
Wheat;Yecora Rojo;2200;0,36;480;200;0;15;1,24;100;25;34;45;0,08;0,4
Wheat;Batten;2150;0,34;280;50;0;15;1,24;100;25;34;45;0,08;0,4
Rice;IR72;2300;0,47;850;200;9;26;1,24;100;10;34;50;0,08;1,0
Maize;McCurdy 84aa;2050;0,50;500;50;8;28;2,10;100;12;34;50;0,01;1,5
Soybean;Bragg;2500;0,35;680;300;6;27;0,86;120;20;36;50;0,07;0,9
Soybean;Williams82;2350;0,40;600;200;6;27;0,86;120;20;36;50;0,07;0,9
Drybean;Porrillo Sintetico;2700;0,40;450;600;5;27;0,80;90;20;32;45;0,07;0,9
Peanut;FLORUNNER;3100;0,35;520;550;10;28;1,20;100;5;36;50;0,07;2,0
Potato;Sebago;2400;0,85;500;350;4;22;1,30;50;30;34;45;0,10;0,4
Potato;Desiree;2700;0,80;690;400;4;22;1,30;50;30;34;45;0,10;0,4
Potato;Zibaihua;2500;0,45;690;500;4;22;1,30;50;30;34;45;0,10;0,4
Potato;Jinguan;2400;0,45;690;450;4;22;1,30;50;30;34;45;0,10;0,4
Potato;Russet Burbank;2300;0,90;500;400;4;22;1,30;50;30;34;45;0,10;0,4
Potato;Hilite Russet;2500;0,90;480;400;4;22;1,30;50;30;34;45;0,10;0,4
Cassava;MCol-1684;5400;0,65;650;300;12;28;1,10;100;15;38;50;0,07;1,0
Tomato;Agriset761;2300;0,50;550;300;6;26;1,00;100;5;32;45;0,07;2,5
Tomato;SunnySD;2800;0,68;520;400;6;26;1,00;100;5;32;45;0,07;2,5
Sweetcorn;GSS0966 sh2;1900;0,45;500;250;8;27;1,70;100;5;34;50;0,01;2,0
Greenbean;Bronco Habit 1;1600;0,45;370;300;5;27;0,86;100;10;32;45;0,07;0,4
Carrot;Kazan F1;2450;0,70;550;250;4;22;1,00;100;5;32;45;0,07;2,0
Cotton;Deltapine77;4600;0,40;680;200;11;28;0,85;40;10;35;50;0,09;1,2
Banana;Prata Ana;6600;0,15;600;400;10;25;0,80;100;5;34;45;0,07;2,5
Dummy Crop;Dummy cultivar;2200;0,36;480;250;0;15;1,24;100;25;34;45;0,08;0,4
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Tomato;Mean;2550;0,59;535;350;6;26;1;100;5;32;45;0;3
Tomato;Variance;62500;0,0081;225;2500;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Mean;2783;0,52;557;317;6;24;1,17;86;17;34;47;0,08;1,1
;Variance;1311436,673;0,038911531;14708,12854;18827,97732;10,66162571;17,06994329;0,087990548;641,9659735;98,5973535;2,128544423;5,671077505;0,000555388;0,587523629
